Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
201003,A,1
201006,A,1
201104,A,1
201105,A,1
201108,A,2
201109,A,2
201110,A,2
201111,A,1
201112,A,1
201201,A,2
201202,A,3
201203,A,2
201204,A,4
201206,A,4
201207,A,2
201208,A,4
201210,A,2
201211,A,7
201212,A,2
201301,A,14
201302,A,12
201303,A,13
201304,A,10
201305,A,9
201306,A,2
201307,A,3
201308,A,2
201309,A,6
201310,A,2
201311,A,4
201312,A,2
201401,A,13
201402,A,21
201403,A,24
201404,A,39
201405,A,50
201406,A,24
201407,A,10
201408,A,17
201409,A,13
201410,A,10
201411,A,14
201412,A,8
201501,A,29
201502,A,63
201503,A,83
201504,A,82
201505,A,114
201506,A,57
201507,A,17
201508,A,15
201509,A,7
201510,A,8
201511,A,30
201512,A,15
201601,A,40
201602,A,90
201603,A,104
201604,A,78
201605,A,35
201606,A,18
201607,A,6
201608,A,16
201609,A,16
201610,A,11
201611,A,6
201612,A,6
201701,A,6
201702,A,12
201703,A,28
201704,A,21
201705,A,46
201706,A,19
201707,A,8
201708,A,7
201709,A,10
201710,A,15
201711,A,9
201712,A,11
201801,A,30
201802,A,43
201803,A,53
201804,A,75
201805,A,62
201806,A,30
201807,A,8
201808,A,13
201809,A,17
201810,A,13
201811,A,11
201812,A,12
201901,A,26
201902,A,33
201903,A,44
201904,A,68
201905,A,96
201906,A,41
201907,A,12
201908,A,14
201909,A,20
201910,A,13
201911,A,13
201912,A,8
202001,A,20
202002,A,21
202003,A,40
202004,A,24
202005,A,15
202006,A,12
202007,A,12
202008,A,4
202009,A,9
202010,A,12
202011,A,14
202012,A,15
202101,A,24
202102,A,22
202103,A,18
202104,A,34
202105,A,31
202106,A,22
202107,A,14
202108,A,22
202109,A,17
202110,A,13
202111,A,21
202112,A,109
202201,A,203
202202,A,203
202203,A,329
202204,A,180
202205,A,197
202206,A,71
202207,A,20
202208,A,38
202209,A,45
202210,A,30
202211,A,31
202212,A,49
202301,A,34
202302,A,49
202303,A,55
202304,A,67
202305,A,68
202306,A,42
202307,A,28
202308,A,45
202309,A,31
202310,A,33
202311,A,46
202312,A,41
202401,A,165
202402,A,307
202403,A,405
202404,A,451
202405,A,333
202406,A,144
202407,A,61
202408,A,56
201107,B,1
201108,B,1
201109,B,1
201110,B,1
201204,B,1
201206,B,1
201208,B,1
201209,B,1
201210,B,2
201212,B,1
201301,B,1
201302,B,3
201303,B,1
201304,B,2
201306,B,1
201307,B,2
201308,B,3
201309,B,4
201310,B,6
201311,B,1
201312,B,3
201401,B,2
201402,B,5
201403,B,7
201404,B,5
201405,B,8
201406,B,11
201407,B,5
201408,B,13
201409,B,8
201410,B,9
201411,B,6
201412,B,8
201501,B,8
201502,B,15
201503,B,21
201504,B,24
201505,B,34
201506,B,6
201507,B,5
201508,B,12
201509,B,8
201510,B,5
201511,B,11
201601,B,13
201602,B,32
201603,B,34
201604,B,16
201605,B,8
201606,B,4
201607,B,7
201608,B,14
201609,B,6
201610,B,7
201611,B,7
201612,B,5
201701,B,6
201702,B,9
201703,B,6
201704,B,13
201705,B,14
201706,B,8
201707,B,7
201708,B,9
201709,B,13
201710,B,7
201711,B,11
201712,B,5
201801,B,14
201802,B,10
201803,B,29
201804,B,24
201805,B,10
201806,B,5
201807,B,6
201808,B,11
201809,B,9
201810,B,12
201811,B,18
201812,B,11
201901,B,8
201902,B,12
201903,B,8
201904,B,12
201905,B,16
201906,B,15
201907,B,10
201908,B,12
201909,B,14
201910,B,9
201911,B,8
201912,B,10
202001,B,7
202002,B,5
202003,B,43
202004,B,37
202005,B,86
202006,B,389
202007,B,668
202008,B,766
202009,B,503
202010,B,282
202011,B,152
202012,B,307
202101,B,409
202102,B,504
202103,B,661
202104,B,369
202105,B,379
202106,B,359
202107,B,474
202108,B,555
202109,B,304
202110,B,164
202111,B,90
202112,B,175
202201,B,4432
202202,B,1625
202203,B,249
202204,B,108
202205,B,1159
202206,B,2727
202207,B,629
202208,B,288
202209,B,78
202210,B,41
202211,B,761
202212,B,1030
202301,B,270
202302,B,165
202303,B,258
202304,B,184
202305,B,194
202306,B,110
202307,B,64
202308,B,249
202309,B,356
202310,B,191
202311,B,92
202312,B,50
202401,B,257
202402,B,572
202403,B,198
202404,B,95
202405,B,46
202406,B,42
202407,B,64
202408,B,158
201106,C,1
201108,C,2
201109,C,1
201110,C,1
201111,C,4
201112,C,3
201201,C,3
201202,C,1
201203,C,1
201205,C,1
201206,C,3
201207,C,1
201208,C,3
201209,C,2
201210,C,4
201211,C,2
201212,C,6
201301,C,6
201302,C,13
201303,C,6
201304,C,11
201305,C,6
201306,C,2
201307,C,7
201308,C,11
201309,C,9
201310,C,15
201311,C,16
201312,C,13
201401,C,15
201402,C,19
201403,C,21
201404,C,40
201405,C,36
